epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4914,1.85463,2.97383,1.33946,0.98794,0.08169,0.23229,0.13395,1.72723,3.11151,1.17323,0.00023,0.00023,0.00023
2,51.7667,1.65309,1.33327,1.19783,0.97747,0.11022,0.24837,0.13834,1.73433,2.96117,1.18452,0.00045449,0.00045449,0.00045449
3,78.0721,1.62606,1.04924,1.18106,0.98008,0.14622,0.56312,0.29821,1.69148,2.34221,1.17513,0.00066314,0.00066314,0.00066314
4,103.83,1.5801,0.9944,1.16381,0.96677,0.35162,0.69018,0.35054,1.70466,1.84862,1.18267,0.00085595,0.00085595,0.00085595
5,129.901,1.56443,0.96158,1.16014,0.92361,0.52084,0.73494,0.37316,1.76417,1.54361,1.24086,0.000868,0.000868,0.000868
6,156.043,1.56085,0.92016,1.16299,0.89806,0.67378,0.78895,0.42704,1.7665,1.40356,1.2885,0.000835,0.000835,0.000835
7,182.169,1.53838,0.87903,1.14917,0.92168,0.74036,0.78627,0.42929,1.7867,1.05279,1.28232,0.000802,0.000802,0.000802
8,207.78,1.52896,0.85735,1.14723,0.84327,0.87188,0.93768,0.52639,1.78946,0.83919,1.3039,0.000769,0.000769,0.000769
9,233.705,1.50747,0.84051,1.13879,0.86752,0.91186,0.94825,0.52237,1.70184,0.82072,1.25079,0.000736,0.000736,0.000736
10,259.163,1.50975,0.82643,1.13076,0.9201,0.91064,0.94348,0.52659,1.68575,0.85153,1.25074,0.000703,0.000703,0.000703
11,284.758,1.49883,0.81337,1.13472,0.88561,0.93485,0.95698,0.54228,1.68272,0.76496,1.23855,0.00067,0.00067,0.00067
12,310.355,1.48666,0.79937,1.12602,0.91968,0.92486,0.9501,0.50232,1.78976,0.77206,1.3043,0.000637,0.000637,0.000637
13,334.858,1.48179,0.78242,1.12208,0.89851,0.92551,0.95814,0.52159,1.67322,0.78085,1.23182,0.000604,0.000604,0.000604
14,360.389,1.44809,0.76673,1.11011,0.86583,0.84729,0.9462,0.53333,1.70855,0.77981,1.25753,0.000571,0.000571,0.000571
15,385.807,1.46178,0.76081,1.1163,0.90109,0.91861,0.95335,0.50747,1.71026,0.75673,1.25534,0.000538,0.000538,0.000538
16,412.77,1.45706,0.75582,1.11028,0.92927,0.91792,0.95369,0.52708,1.75848,0.7338,1.30045,0.000505,0.000505,0.000505
17,438.545,1.45781,0.75005,1.11578,0.92241,0.93447,0.95726,0.53293,1.70999,0.73259,1.26284,0.000472,0.000472,0.000472
18,463.406,1.42554,0.73569,1.10705,0.89922,0.9036,0.9349,0.50107,1.71033,0.72939,1.26143,0.000439,0.000439,0.000439
19,488.427,1.43298,0.73424,1.1051,0.87703,0.88735,0.9514,0.51743,1.76492,0.76858,1.29518,0.000406,0.000406,0.000406
20,514.587,1.42715,0.72679,1.10704,0.90606,0.91078,0.94993,0.53283,1.74712,0.75209,1.2986,0.000373,0.000373,0.000373
21,544.931,1.44653,0.74032,1.13088,0.92064,0.93041,0.95921,0.53209,1.71643,0.74801,1.26126,0.00034,0.00034,0.00034
22,570.31,1.43792,0.71806,1.13095,0.92385,0.93622,0.95832,0.51763,1.73583,0.73677,1.27109,0.000307,0.000307,0.000307
23,594.467,1.41916,0.69506,1.11954,0.9369,0.91888,0.95606,0.53095,1.6907,0.72983,1.24031,0.000274,0.000274,0.000274
24,618.708,1.40462,0.69124,1.11131,0.94401,0.93558,0.96014,0.5467,1.70384,0.71941,1.26257,0.000241,0.000241,0.000241
25,642.454,1.39579,0.68376,1.11004,0.9199,0.92651,0.96009,0.5437,1.69108,0.69613,1.25414,0.000208,0.000208,0.000208
26,665.83,1.39645,0.67509,1.10897,0.94112,0.93849,0.96106,0.53463,1.70293,0.6991,1.25335,0.000175,0.000175,0.000175
27,690.642,1.38297,0.6706,1.0996,0.92903,0.93744,0.95965,0.5338,1.70169,0.70713,1.25824,0.000142,0.000142,0.000142
28,715.088,1.37766,0.66273,1.09757,0.92989,0.93554,0.96231,0.53593,1.70256,0.71468,1.24933,0.000109,0.000109,0.000109
29,739.379,1.36728,0.66532,1.09956,0.93552,0.9364,0.96189,0.54616,1.70231,0.69328,1.25947,7.6e-05,7.6e-05,7.6e-05
30,762.602,1.36375,0.65099,1.09093,0.93688,0.93874,0.96296,0.5456,1.69844,0.69774,1.25129,4.3e-05,4.3e-05,4.3e-05
