epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4843,1.80626,2.81297,1.3007,0.91512,0.21849,0.34931,0.19178,1.7444,2.74943,1.17596,0.0002875,0.0002875,0.0002875
2,51.6718,1.67009,1.19427,1.18348,0.97375,0.21442,0.40397,0.21524,1.76425,2.54832,1.19855,0.000558419,0.000558419,0.000558419
3,78.3402,1.60536,0.99854,1.16913,0.9636,0.30837,0.42829,0.23516,1.77125,2.10061,1.21927,0.000799638,0.000799638,0.000799638
4,104.445,1.62272,0.97495,1.16771,0.94027,0.39086,0.72413,0.38219,1.79845,1.68487,1.23742,0.00101116,0.00101116,0.00101116
5,131.865,1.60947,0.93829,1.17211,0.86756,0.58387,0.84963,0.46084,1.71366,1.28121,1.19964,0.0010025,0.0010025,0.0010025
6,158.344,1.57273,0.89104,1.1561,0.80707,0.72285,0.87518,0.48026,1.73165,1.04669,1.24137,0.000940625,0.000940625,0.000940625
7,185.861,1.57492,0.87719,1.1546,0.66902,0.79426,0.81661,0.43794,1.73858,0.89928,1.24879,0.00087875,0.00087875,0.00087875
8,212.184,1.55322,0.85034,1.14529,0.89222,0.92949,0.94382,0.51111,1.72767,0.9011,1.24462,0.000816875,0.000816875,0.000816875
9,238.044,1.55484,0.82139,1.15159,0.87558,0.93548,0.93758,0.51305,1.71369,0.87861,1.23434,0.000755,0.000755,0.000755
10,264.564,1.54079,0.80775,1.13926,0.86491,0.93132,0.93784,0.49488,1.72672,0.84648,1.23676,0.000693125,0.000693125,0.000693125
11,295.563,1.54149,0.83452,1.16452,0.86399,0.9149,0.93168,0.49947,1.75451,0.8575,1.24769,0.00063125,0.00063125,0.00063125
12,319.289,1.52305,0.78881,1.15691,0.88248,0.93246,0.9338,0.50557,1.70249,0.8276,1.24463,0.000569375,0.000569375,0.000569375
13,344.006,1.52108,0.77431,1.15793,0.87105,0.91171,0.94077,0.50488,1.7073,0.81767,1.24973,0.0005075,0.0005075,0.0005075
14,369.233,1.50217,0.75472,1.14686,0.88461,0.90735,0.94401,0.51081,1.68216,0.78531,1.24258,0.000445625,0.000445625,0.000445625
15,394.402,1.49728,0.74228,1.14218,0.89339,0.94447,0.94541,0.51408,1.68595,0.79719,1.24268,0.00038375,0.00038375,0.00038375
16,419.995,1.49405,0.73088,1.14495,0.89275,0.93923,0.94358,0.49136,1.70466,0.79707,1.23642,0.000321875,0.000321875,0.000321875
17,443.972,1.47611,0.71866,1.13671,0.89343,0.94105,0.94848,0.52338,1.68595,0.75551,1.23694,0.00026,0.00026,0.00026
18,468.728,1.46973,0.70571,1.12414,0.89152,0.9491,0.9499,0.51326,1.68003,0.77545,1.23057,0.000198125,0.000198125,0.000198125
19,493.523,1.44128,0.69713,1.11955,0.89648,0.94551,0.94951,0.52685,1.68459,0.75129,1.24059,0.00013625,0.00013625,0.00013625
20,517.491,1.44931,0.68355,1.12588,0.89403,0.94719,0.95141,0.52626,1.67982,0.76306,1.23129,7.4375e-05,7.4375e-05,7.4375e-05
